UID,REFCAT,Vulnerabilidad,SA,GradoDanio,PGA,Suelo,pNull,pLow,pMod,pExt,pCom,pMean,ojo,year,floor,facadeL,Escombro
1123,4402706XG1740A,RC31-PRE,0.215,None,0.17,B,0.857,0.116,0.025,0.002,0.0,None,Reinforced Concrete,1970,2,37.29,0
1124,4402707XG1740A,M11-PRE,0.349,Moderate,0.17,B,0.019,0.18,0.376,0.266,0.159,Moderate,Masonry,1900,1,11.89,0.01739
1125,4402801XG1740A,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1980,1,35.33,0
1126,4402802XG1740A,RC31-LOW,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1997,2,27.76,0
1127,4402901XG1740A,RC31-PRE,0.214,None,0.17,B,0.857,0.116,0.025,0.002,0.0,None,Reinforced Concrete,1972,1,42.59,0
1128,4402902XG1740A,RC31-PRE,0.215,None,0.17,B,0.857,0.116,0.025,0.002,0.0,None,Reinforced Concrete,1967,1,56.04,0
1129,4402903XG1740A,M31-PRE,0.365,None,0.17,B,0.604,0.364,0.028,0.004,0.0,None,Masonry,1935,1,48.21,0
1130,4402904XG1740A,M34-PRE,0.352,None,0.171,B,0.768,0.222,0.008,0.001,0.0,None,Masonry,1961,2,29.53,0
1131,4402905XG1740A,M34-PRE,0.352,None,0.171,B,0.768,0.223,0.008,0.001,0.0,None,Masonry,1975,2,34.98,0
1132,4402906XG1740A,RC31-PRE,0.215,None,0.17,B,0.857,0.116,0.025,0.002,0.0,None,Reinforced Concrete,1965,2,73.36,0
1133,4403201XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1975,3,28.78,0
1134,4403202XG1740C,M34-PRE,0.35,None,0.17,B,0.772,0.219,0.008,0.001,0.0,None,Masonry,1968,2,22.25,0
1135,4403203XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1975,1,17.29,0
1136,4403204XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1975,3,21.35,0
1137,4403205XG1740C,M11-PRE,0.347,Moderate,0.169,B,0.019,0.183,0.377,0.264,0.157,Moderate,Masonry,1910,1,11.5,0.01774
1138,4403206XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1975,2,12.37,0
1139,4403207XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1960,3,25.36,0
1140,4403208XG1740C,M34-PRE,0.349,None,0.169,B,0.774,0.217,0.008,0.001,0.0,None,Masonry,1960,2,19.79,0
1141,4403209XG1740C,M34-PRE,0.349,None,0.169,B,0.774,0.217,0.008,0.001,0.0,None,Masonry,1960,1,8.61,0
1142,4403210XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1960,2,27.28,0
1143,4403211XG1740C,M34-PRE,0.21,Sligth,0.17,B,0.377,0.527,0.076,0.019,0.002,Sligth,Masonry,1970,4,22.34,0.01055
1144,4403212XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1970,2,21.57,0
1145,4403214XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1960,2,14.68,0
1146,4403501XG1740C,M31-PRE,0.364,None,0.17,B,0.607,0.361,0.028,0.004,0.0,None,Masonry,1920,1,53.22,0
1147,4403601XG1740C,M34-PRE,0.349,None,0.169,B,0.774,0.217,0.008,0.001,0.0,None,Masonry,1951,2,21.26,0
1148,4403602XG1740C,RC31-PRE,0.214,None,0.169,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1979,3,9.54,0
1149,4403603XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1977,2,3.39,0
1150,4403604XG1740C,RC31-PRE,0.214,None,0.17,B,0.858,0.115,0.025,0.002,0.0,None,Reinforced Concrete,1964,2,8.07,0
