0	-1.69250	37.66384	000100100XG16H	1	1988	RC31-PRE-L	57.73	3002402004
1	-1.69226	37.66504	000100200XG16H	2	1973	RC31-PRE-L	38.92	3002402004
2	-1.69237	37.66415	000100300XG16H	2	1975	RC31-PRE-L	43.14	3002402004
3	-1.69222	37.66519	000100400XG16H	2	1976	RC31-PRE-L	66.26	3002401030
4	-1.69197	37.66410	000100500XG16H	2	1955	M34-PRE-L	42.23	3002402004
5	-1.69168	37.66388	000100800XG16H	2	1984	RC31-PRE-L	81.80	3002402004
6	-1.69104	37.66396	000100900XG16H	1	1950	M34-PRE-L	63.65	3002402004
7	-1.69076	37.66379	000101000XG16H	2	1968	RC31-PRE-L	75.24	3002402004
8	-1.69014	37.66434	000101100XG16H	2	1975	RC31-PRE-L	43.14	3002402004
9	-1.68992	37.66369	000101200XG16H	2	1979	RC31-PRE-L	77.03	3002402004
10	-1.68955	37.66467	000101300XG16H	3	1979	RC31-PRE-L	65.07	3002402004
11	-1.68935	37.66487	000101400XG16H	2	1960	M34-PRE-L	50.20	3002402004
12	-1.68637	37.66429	000101800XG16H	2	1981	RC31-PRE-L	78.35	3002402004
13	-1.68622	37.66464	000101900XG16H	3	1970	RC31-PRE-L	39.90	3002402004
14	-1.68634	37.66480	000102000XG16H	1	1976	RC31-PRE-L	60.40	3002402004
15	-1.68617	37.66370	000102100XG16H	1	1971	RC31-PRE-L	116.44	3002402004
16	-1.68522	37.66388	000200100XG16H	1	1993	RC31-PRE-L	61.10	3002402021
17	-1.68412	37.66729	000209300XG16H	2	1965	RC31-PRE-L	44.03	3002402004
18	-1.68400	37.66735	000209400XG16H	1	1965	RC31-PRE-L	36.51	3002402004
19	-1.68572	37.66407	000209600XG16H	2	1900	M11-PRE-L	59.13	3002402021
20	-1.68562	37.66386	000209700XG16H	2	1900	M11-PRE-L	51.06	3002402021
21	-1.68542	37.66403	000209800XG16H	1	1985	RC31-PRE-L	61.20	3002402021
22	-1.68559	37.66370	000209900XG16H	2	1956	M34-PRE-L	44.01	3002402021
23	-1.68556	37.66355	000210000XG16H	2	1956	M34-PRE-L	44.08	3002402021
24	-1.68495	37.66516	000210100XG16H	2	1948	M34-PRE-L	34.08	3002402021
25	-1.68478	37.66511	000210200XG16H	1	1970	RC31-PRE-L	43.44	3002402021
26	-1.68459	37.66499	000210300XG16H	3	1980	RC31-PRE-L	71.49	3002402021
27	-1.68431	37.66492	000210400XG16H	3	1960	M34-PRE-M	41.17	3002402021
28	-1.68440	37.66485	000210500XG16H	1	1970	RC31-PRE-L	40.33	3002402021
29	-1.68445	37.66397	000210700XG16H	1	1978	RC31-PRE-L	53.01	3002402021
30	-1.68392	37.66433	000210900XG16H	2	1994	RC31-PRE-L	39.97	3002402021
31	-1.68355	37.66450	000211000XG16H	1	1960	M34-PRE-L	58.12	3002402021
32	-1.68537	37.66572	000212900XG16H	1	1980	RC31-PRE-L	45.67	3002402004
33	-1.68524	37.66774	000213000XG16H	2	1970	RC31-PRE-L	27.87	3002402004
34	-1.68524	37.66783	000213100XG16H	1	1970	RC31-PRE-L	36.90	3002402004
35	-1.68502	37.66604	000213200XG16H	2	1900	M11-PRE-L	50.30	3002402004
36	-1.68465	37.66728	000213300XG16H	2	1977	RC31-PRE-L	50.32	3002402004
37	-1.68463	37.66528	000213400XG16H	2	1970	RC31-PRE-L	40.63	3002402004
38	-1.68442	37.66675	000213600XG16H	2	1994	RC31-PRE-L	55.20	3002402004
39	-1.68390	37.66520	000213800XG16H	2	1950	M34-PRE-L	42.50	3002402004
40	-1.68387	37.66497	000213900XG16H	2	1900	M11-PRE-L	61.13	3002402004
41	-1.68371	37.66663	000214000XG16H	2	1996	RC31-PRE-L	53.69	3002402004
42	-1.68369	37.66479	000214100XG16H	2	1968	RC31-PRE-L	89.78	3002402004
43	-1.68372	37.66496	000214200XG16H	2	1900	M11-PRE-L	35.14	3002402004
44	-1.68306	37.66515	000214400XG16H	2	1982	RC31-PRE-L	46.97	3002402004
45	-1.68298	37.66479	000214500XG16H	1	1980	RC31-PRE-L	56.30	3002402004
46	-1.68292	37.66551	000214600XG16H	2	1980	RC31-PRE-L	94.63	3002402004
47	-1.68290	37.66597	000214700XG16H	2	1900	M11-PRE-L	51.65	3002402004
48	-1.68215	37.66708	000215000XG16H	1	1943	M34-PRE-L	65.90	3002402004
49	-1.68222	37.66575	000215100XG16H	2	1966	RC31-PRE-L	58.86	3002402004
50	-1.68185	37.66778	000215300XG16H	2	1970	RC31-PRE-L	106.96	3002402004
51	-1.68307	37.67045	000308900XG16H	2	1970	RC31-PRE-L	56.72	3002402004
52	-1.70196	37.68381	000401600XG17A	1	1970	RC31-PRE-L	124.98	3002401018
53	-1.70230	37.68411	000402100XG17A	1	1993	RC31-PRE-L	43.97	3002401018
54	-1.70227	37.68426	000402200XG17A	1	1993	RC31-PRE-L	103.48	3002401018
55	-1.70381	37.68694	000500600XG17A	1	1920	M11-PRE-L	38.86	3002401018
56	-1.71335	37.65026	000600300XG16H	3	1998	RC31-LOW-L	53.90	3002402028
57	-1.69568	37.66052	000600500XG16H	3	1993	RC31-PRE-L	63.84	3002402001
58	-1.69436	37.66127	000600600XG16H	2	1925	M31-PRE-L	77.99	3002402001
59	-1.69656	37.65991	000601100XG16H	2	1888	M11-PRE-L	39.24	3002402001
60	-1.69615	37.66020	000601200XG16H	1	1888	M11-PRE-L	47.07	3002402001
61	-1.69698	37.65935	000602000XG16H	2	1986	RC31-PRE-L	30.03	3002402001
62	-1.69693	37.65941	000602100XG16H	1	1920	M11-PRE-L	21.24	3002402001
63	-1.69479	37.66103	000606500XG16H	2	1999	RC31-LOW-L	53.81	3002402001
64	-1.69306	37.66289	000606700XG16H	2	1900	M11-PRE-L	38.05	3002402004
65	-1.68887	37.66316	000612300XG16H	2	1968	RC31-PRE-L	36.07	3002402004
66	-1.68777	37.66332	000614300XG16H	2	1888	M11-PRE-L	59.98	3002402004
67	-1.68755	37.66295	000614400XG16H	2	1940	M31-PRE-L	49.53	3002402004
68	-1.67517	37.68374	000700100XG17B	2	1944	M34-PRE-L	54.90	3002402005
69	-1.67502	37.68307	000700300XG17B	1	1986	RC31-PRE-L	50.55	3002402005
70	-1.67782	37.68491	000700400XG17B	1	1987	RC31-PRE-L	20.25	3002401029
71	-1.67730	37.68402	000700500XG17B	2	1900	M11-PRE-L	94.43	3002402022
72	-1.67466	37.68534	000701400XG17B	1	2005	RC31-LOW-L	83.27	3002402022
73	-1.68604	37.66345	000708500XG16H	2	1900	M11-PRE-L	46.47	3002402004
74	-1.67645	37.68103	001200300XG17B	3	1965	RC31-PRE-L	56.74	3002402005
75	-1.67666	37.68091	001200400XG17B	1	1965	M34-PRE-L	52.04	3002402005
76	-1.67604	37.68110	001200600XG17B	1	1940	M31-PRE-L	68.06	3002402005
77	-1.67638	37.68061	001200700XG17B	3	1978	RC31-PRE-L	45.79	3002402005
78	-1.69943	37.68023	001500100XG17A	1	1995	RC31-PRE-L	151.47	3002402015
79	-1.69888	37.65664	001500500XG16G	1	2000	RC31-LOW-L	56.01	3002402001
80	-1.69781	37.65794	001500900XG16G	1	1940	M31-PRE-L	50.08	3002402001
81	-1.69832	37.65780	001501000XG16G	1	1974	RC31-PRE-L	51.80	3002402001
82	-1.69846	37.65758	001501100XG16G	1	1900	M11-PRE-L	25.75	3002402001
83	-1.69852	37.65749	001501200XG16G	1	1900	M11-PRE-L	33.95	3002402001
84	-1.69879	37.65727	001501300XG16G	2	1976	RC31-PRE-L	44.04	3002402001
85	-1.70293	37.68013	001501300XG17A	2	1989	RC31-PRE-L	84.59	3002402015
86	-1.69870	37.65710	001501400XG16G	1	1900	M11-PRE-L	39.37	3002402001
87	-1.70113	37.68002	001501400XG17A	1	1982	RC31-PRE-L	67.81	3002402015
88	-1.69934	37.65648	001501500XG16G	2	1984	RC31-PRE-L	51.12	3002402001
89	-1.69941	37.65629	001501600XG16G	1	1888	M11-PRE-L	41.24	3002402026
90	-1.69974	37.65583	001502000XG16G	2	1965	RC31-PRE-L	44.44	3002402026
91	-1.70867	37.65491	001503300XG16G	1	1973	RC31-PRE-L	51.57	3002401031
92	-1.70829	37.65508	001503400XG16G	3	1985	RC31-PRE-L	54.90	3002401031
93	-1.70806	37.65525	001503500XG16G	2	1986	RC31-PRE-L	43.71	3002401031
94	-1.70809	37.65485	001503600XG16G	1	1979	RC31-PRE-L	49.20	3002401031
95	-1.70789	37.65488	001503700XG16G	2	1988	RC31-PRE-L	48.93	3002401031
96	-1.70774	37.65563	001503800XG16G	1	1960	M34-PRE-L	57.17	3002401031
97	-1.70739	37.65600	001503900XG16G	1	1950	RC31-PRE-L	39.10	3002401031
98	-1.70710	37.65494	001504000XG16G	1	1960	M34-PRE-L	30.04	3002401031
99	-1.70702	37.65633	001504100XG16G	2	1983	RC31-PRE-L	59.65	3002401031
100	-1.70598	37.65668	001504300XG16G	2	1978	RC31-PRE-L	402.29	3002401031
101	-1.70606	37.65718	001504400XG16G	2	1987	RC31-PRE-L	54.95	3002401031
102	-1.70540	37.65626	001504500XG16G	2	1965	RC31-PRE-L	50.83	3002401031
103	-1.70457	37.65533	001504600XG16G	1	1960	M34-PRE-L	40.46	3002401031
104	-1.70438	37.65622	001504700XG16G	1	1988	RC31-PRE-L	42.85	3002401031
105	-1.70432	37.65631	001504800XG16G	2	1988	RC31-PRE-L	28.91	3002401031
106	-1.71194	37.65103	001900200XG16G	1	1968	M34-PRE-L	49.66	3002402013
107	-1.71027	37.65174	001900400XG16G	1	1961	M34-PRE-L	40.87	3002402013
108	-1.71007	37.65149	001900500XG16G	2	1981	RC31-PRE-L	42.50	3002402013
109	-1.70839	37.65495	002003100XG16G	1	1988	RC31-PRE-L	66.06	3002401031
110	-1.70810	37.65452	002003200XG16G	2	1975	RC31-PRE-L	75.10	3002401031
111	-1.70739	37.65463	002003600XG16G	2	1985	RC31-PRE-L	48.31	3002401031
112	-1.70712	37.65443	002003900XG16G	2	1985	M34-PRE-L	50.47	3002401031
113	-1.68726	37.66825	002100100XG17B	1	1997	RC31-LOW-L	44.62	3002401030
114	-1.68286	37.67176	002203600XG17B	2	1985	RC31-PRE-L	48.08	3002402006
